row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
39,2018-08-27,6908.64,0.04217472614002182,1,0.5204610951008646,0.285682956887541,0.3758016319581437,0.39047083,0.47665244,0.45600274,0,0.0,0.04217472614002182,1.0,1.0421747261400218
44,2018-09-01,7200.01,-0.09499986805573879,0,0.5204610951008646,0.3706175317969754,0.38488443066239497,0.42213222,0.47450495,0.48781016,0,-0.0,-0.09499986805573879,1.0,0.943168264665694
60,2018-09-17,6248.69,0.07591351147200465,1,0.5204610951008646,0.3738363609044232,0.5154588730951194,0.47039756,0.50357413,0.49386016,1,0.07391351147200464,0.07591351147200465,1.0739135114720046,1.014767479545424
65,2018-09-22,6723.05,-0.0050453291288924396,0,0.5204610951008646,0.4706937788979096,0.4156918955173136,0.48376858,0.46339306,0.465687,0,-0.0,-0.0050453291288924396,1.0739135114720046,1.0096476436218207
109,2018-11-05,6468.99,-0.005555735903131631,0,0.5204610951008646,0.5467738181730138,0.6039323565403852,0.69252557,0.4607972,0.45425898,0,-0.0,-0.005555735903131631,1.0739135114720046,1.0040383079586388
114,2018-11-10,6433.05,-0.10564973068762107,0,0.5204610951008646,0.6399059297505034,0.680397704878259,0.74427444,0.47022572,0.43085265,0,-0.0,-0.10564973068762107,1.0739135114720046,0.8979619311227539
130,2018-11-26,3862.2,0.08487908445963455,1,0.5204610951008646,0.5791450575543196,0.4659134333124318,0.4316046,0.549825,0.5188578,1,0.08287908445963454,0.08487908445963455,1.1629184800916357,0.9741801177160587
135,2018-12-01,4190.02,-0.16259349597376638,0,0.5204610951008646,0.36769419379518015,0.37291604753865615,0.4003626,0.44580954,0.46083802,0,-0.0,-0.16259349597376638,1.1629184800916357,0.8157847666684694
179,2019-01-14,3626.09,0.01081330027660643,1,0.5204610951008646,0.5670309144924593,0.4228801189315006,0.4408718,0.48803523,0.47856283,0,0.0,0.01081330027660643,1.1629184800916357,0.8246060923115369
184,2019-01-19,3665.3,-0.026104275229858476,0,0.5204610951008646,0.6168343500132166,0.472888284002857,0.55284935,0.46349075,0.44192943,0,-0.0,-0.026104275229858476,1.1629184800916357,0.8030803479216184
200,2019-02-04,3463.22,0.05831567154266848,1,0.5204610951008646,0.5996307720038351,0.5695220116830824,0.7098923,0.47916663,0.45048648,0,0.0,0.05831567154266848,1.1629184800916357,0.8499125177133875
205,2019-02-09,3665.18,-0.020359163806416003,0,0.5204610951008646,0.5144316145332466,0.42652424583802473,0.47300833,0.47987998,0.48792434,0,-0.0,-0.020359163806416003,1.1629184800916357,0.8326090095441372
249,2019-03-25,3936.12,0.04340568885094975,1,0.5204610951008646,0.5353338062459808,0.5509875015052996,0.56701857,0.48993206,0.5104844,0,0.0,0.04340568885094975,1.1629184800916357,0.8687489771469075
254,2019-03-30,4106.97,0.1927674173417384,1,0.5204610951008646,0.485868179227751,0.5459541315261747,0.5937696,0.48263457,0.53661263,0,0.0,0.1927674173417384,1.1629184800916357,1.0362154737897937
270,2019-04-15,5024.95,0.05309107553308978,1,0.5204610951008646,0.4274268664305781,0.6297087355508265,0.6110165,0.5252654,0.5518373,1,0.05109107553308978,0.05309107553308978,1.2223332359968233,1.091229267777324
275,2019-04-20,5291.73,-0.013574010767745115,0,0.5204610951008646,0.34974615695664796,0.5407844348694337,0.64233387,0.5042977,0.57805055,1,-0.015574010767745115,-0.013574010767745115,1.2032966050176361,1.076416909946436
319,2019-06-03,8115.82,-0.027378625942911516,0,0.5204610951008646,0.5818962021346649,0.6321117926795415,0.6573171,0.56766886,0.4844153,1,-0.029378625942911518,-0.027378625942911516,1.1679454041604476,1.0469460940103879
324,2019-06-08,7893.62,0.04116235643469035,1,0.5204610951008646,0.5439233222205722,0.5609644173201263,0.6027609,0.52189416,0.48407018,1,0.03916235643469035,0.04116235643469035,1.2136848983744375,1.0900408622999502
340,2019-06-24,11056.59,0.07656429333094561,1,0.5204610951008646,0.630094065384142,0.6124819632749819,0.65515804,0.5572701,0.578493,1,0.07456429333094561,0.07656429333094561,1.304182455148168,1.1734990706238004
345,2019-06-29,11903.13,-0.0636353631355786,0,0.5204610951008646,0.6502738035754914,0.5441371344525723,0.52358824,0.58231777,0.5499734,1,-0.0656353631355786,-0.0636353631355786,1.2185819661094675,1.0988230311253908
389,2019-08-12,11396.08,-0.10354964163115732,0,0.5204610951008646,0.5097724013749361,0.4823219080797211,0.46034616,0.5213854,0.45366514,1,-0.10554964163115732,-0.10354964163115732,1.089961076288422,0.9850403000362946
394,2019-08-17,10216.02,-0.011368419404034213,0,0.5204610951008646,0.5631755993883314,0.5369083803597271,0.50823677,0.50940824,0.5211681,1,-0.013368419404034214,-0.011368419404034213,1.0753900194865258,0.9738419487756064
410,2019-09-02,10340.0,0.011206963249516422,1,0.5204610951008646,0.4554182463491079,0.3493888385640302,0.36455128,0.47856778,0.39727053,0,0.0,0.011206963249516422,1.0753900194865258,0.9847557597063721
