threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,tn,fp,fn,tp,horizon_days,horizon_name,model,split,majority_class,best_epoch
0.5,0.4651567944250871,0.5,0.0,0.0,0.0,0.5,0.694653704234136,267,0,307,0,1,next_day,majority_baseline,validation,0.0,
0.5,0.4686411149825784,0.5,0.0,0.0,0.0,0.5,0.6945211434882673,269,0,305,0,1,next_day,majority_baseline,test,0.0,
0.5299999999999999,0.5557491289198606,0.564438995229904,0.6192660550458715,0.43973941368078173,0.5142857142857142,0.5512083836572362,0.698981447637664,184,83,172,135,1,next_day,logistic_regression,validation,,
0.5299999999999999,0.5209059233449478,0.5283381071363276,0.5681818181818182,0.4098360655737705,0.47619047619047616,0.5294411603388384,0.7023010087344355,174,95,180,125,1,next_day,logistic_regression,test,,
0.57,0.5052264808362369,0.5279434908318998,0.6138613861386139,0.20195439739413681,0.30392156862745096,0.5299564469494564,0.6944538307848518,228,39,245,62,1,next_day,random_forest,validation,,
0.57,0.4912891986062718,0.5125358035224572,0.5698924731182796,0.1737704918032787,0.2663316582914573,0.5084892437077213,0.7016336162019718,229,40,252,53,1,next_day,random_forest,test,,
0.575,0.519163763066202,0.5417047908355598,0.6504854368932039,0.2182410423452769,0.32682926829268294,0.5369956934938818,0.6952388383601662,231,36,240,67,1,next_day,xgboost,validation,,
0.575,0.48606271777003485,0.506740203546834,0.5510204081632653,0.17704918032786884,0.2679900744416873,0.5048814674873545,0.7058216409294944,225,44,251,54,1,next_day,xgboost,test,,
0.49999999999999994,0.5452961672473867,0.5412473008088424,0.5714285714285714,0.5993485342019544,0.5850556438791733,0.549415022752504,0.6902167534920362,129,138,123,184,1,next_day,mlp,validation,,1.0
0.49999999999999994,0.5226480836236934,0.5163751599731854,0.5449275362318841,0.6163934426229508,0.5784615384615385,0.5219087086355049,0.6917893286238851,112,157,117,188,1,next_day,mlp,test,,1.0
0.49999999999999994,0.5578947368421052,0.5507518796992481,0.5747126436781609,0.6578947368421053,0.6134969325153374,0.5506405817174516,0.6893284733241223,118,148,104,200,1,next_day,lstm,validation,,6.0
0.49999999999999994,0.5,0.49528307636053387,0.5272727272727272,0.5704918032786885,0.5480314960629922,0.5144006337985252,0.6994489407706174,113,156,131,174,1,next_day,lstm,test,,6.0
0.5,0.5487804878048781,0.5,0.5487804878048781,1.0,0.7086614173228346,0.5,0.6899905556230442,0,259,0,315,5,next_5_days,majority_baseline,validation,1.0,
0.5,0.5418118466898955,0.5,0.5418118466898955,1.0,0.7028248587570621,0.5,0.6905612184285898,0,263,0,311,5,next_5_days,majority_baseline,test,1.0,
0.565,0.5087108013937283,0.5307593307593308,0.6037735849056604,0.3047619047619048,0.4050632911392405,0.5158546301403444,0.7213495128197693,196,63,219,96,5,next_5_days,logistic_regression,validation,,
0.565,0.4912891986062718,0.512060934309782,0.5655172413793104,0.26366559485530544,0.35964912280701755,0.5117797366522807,0.7165568347120166,200,63,229,82,5,next_5_days,logistic_regression,test,,
0.5049999999999999,0.5139372822299652,0.516988416988417,0.5666666666666667,0.4857142857142857,0.5230769230769231,0.496794753937611,0.7062177148947969,142,117,162,153,5,next_5_days,random_forest,validation,,
0.5049999999999999,0.5296167247386759,0.534226645311946,0.5797665369649806,0.4790996784565916,0.5246478873239436,0.54983922829582,0.6895033472109672,155,108,162,149,5,next_5_days,random_forest,test,,
0.45499999999999996,0.5365853658536586,0.5132561132561133,0.5576470588235294,0.7523809523809524,0.6405405405405405,0.4994055279769566,0.710925101155437,71,188,78,237,5,next_5_days,xgboost,validation,,
0.45499999999999996,0.5174216027874564,0.49333683811573115,0.5376106194690266,0.7813504823151125,0.6369593709043251,0.5349602044184709,0.6950904821612052,54,209,68,243,5,next_5_days,xgboost,test,,
0.49,0.5714285714285714,0.5566709566709567,0.5915119363395226,0.707936507936508,0.6445086705202312,0.5673591959306246,0.6864885110061788,105,154,92,223,5,next_5_days,mlp,validation,,1.0
0.49,0.5435540069686411,0.5286026921619209,0.5626598465473146,0.707395498392283,0.6267806267806267,0.5290183756556185,0.6923246712240941,92,171,91,220,5,next_5_days,mlp,test,,1.0
0.5249999999999999,0.5385964912280702,0.5577295766249255,0.6416184971098265,0.3557692307692308,0.4577319587628866,0.5537293778572848,0.6889178884579331,196,62,201,111,5,next_5_days,lstm,validation,,2.0
0.5249999999999999,0.5313588850174216,0.5507989681268568,0.6346153846153846,0.3183279742765273,0.42398286937901497,0.548518821904075,0.6925591414691883,206,57,212,99,5,next_5_days,lstm,test,,2.0
0.5,0.524390243902439,0.5,0.524390243902439,1.0,0.688,0.5,0.6921106634537988,0,273,0,301,7,next_week,majority_baseline,validation,1.0,
0.5,0.5261324041811847,0.5,0.5261324041811847,1.0,0.6894977168949772,0.5,0.6918793751439627,0,272,0,302,7,next_week,majority_baseline,test,1.0,
0.48,0.5452961672473867,0.5441264162194395,0.5662251655629139,0.5681063122923588,0.5671641791044776,0.5229333235977754,0.7123369095009354,142,131,130,171,7,next_week,logistic_regression,validation,,
0.48,0.5975609756097561,0.5945412933385275,0.6099071207430341,0.652317880794702,0.6304,0.6064837358784574,0.6823060797524216,146,126,105,197,7,next_week,logistic_regression,test,,
0.6299999999999999,0.49825783972125437,0.5193798449612402,0.6666666666666666,0.08637873754152824,0.15294117647058825,0.47886775461526293,0.7100176881326788,260,13,275,26,7,next_week,random_forest,validation,,
0.6299999999999999,0.5104529616724739,0.5329421503700819,0.7560975609756098,0.10264900662251655,0.18075801749271136,0.6285182119205298,0.668158814006201,262,10,271,31,7,next_week,random_forest,test,,
0.365,0.5365853658536586,0.5135020018740949,0.5313059033989267,0.9867109634551495,0.6906976744186046,0.47913548245774157,0.7166313376648186,11,262,4,297,7,next_week,xgboost,validation,,
0.365,0.5400696864111498,0.5150710946630308,0.5338078291814946,0.9933774834437086,0.6944444444444444,0.6366015777171796,0.6632923744849634,10,262,2,300,7,next_week,xgboost,test,,
0.5249999999999999,0.5017421602787456,0.5179316807223784,0.5773195876288659,0.18604651162790697,0.2814070351758794,0.48546359509814657,0.6960482264664288,232,41,245,56,7,next_week,mlp,validation,,1.0
0.5249999999999999,0.4930313588850174,0.5114554927931437,0.5647058823529412,0.15894039735099338,0.24806201550387597,0.5933847876899103,0.6870685491957385,235,37,254,48,7,next_week,mlp,test,,1.0
0.575,0.5561403508771929,0.5703740703740704,0.7340425531914894,0.23232323232323232,0.35294117647058826,0.5758439091772425,0.6793188440356269,248,25,228,69,7,next_week,lstm,validation,,3.0
0.575,0.5557491289198606,0.5737972341254383,0.7582417582417582,0.22847682119205298,0.3511450381679389,0.6307581807557461,0.6699487515085519,250,22,233,69,7,next_week,lstm,test,,3.0
